dia,mes,logradouro,cidade,uf
10,1,Rua Dez de Janeiro,Blumenau,SC
10,1,Dez de Janeiro,Tubarão,SC
10,1,Rua Dez de Janeiro,Cotia,SP
10,1,Rua 10 de Janeiro,Aliança do Tocantins,TO
11,1,Rua 11 de Janeiro,Manaus,AM
11,1,Rua 11 de Janeiro,Salvador,BA
11,1,Travessa 11 de Janeiro,Salvador,BA
11,1,Travessa Onze de Janeiro,Salvador,BA
11,1,Rua Onze de Janeiro,Santana do Cariri,CE
11,1,Rua Onze de Janeiro,Vitória,ES
11,1,Travessa Onze de Janeiro,Vitória,ES
11,1,Rua Onze de Janeiro,Goiânia,GO
11,1,Rua 11 de Janeiro,Várzea,PB
11,1,Rua Onze de Janeiro,São Gonçalo,RJ
12,1,Doze de Janeiro,Salvador,BA
12,1,Avenida 12 de Janeiro,Aloândia,GO
12,1,Rua 12 de Janeiro,Goiânia,GO
12,1,Rua 12 de Janeiro,Paraúna,GO
12,1,Rua Doze de Janeiro,Barcarena,PA
12,1,Rua Doze de Janeiro,Belém,PA
12,1,Rua Doze de Janeiro,Recife,PE
12,1,Rua Doze de Janeiro,Japeri,RJ
12,1,Rua Doze de Janeiro,Queimados,RJ
12,1,Rua Doze de Janeiro,Natal,RN
12,1,Rua 12 de Janeiro,Lagoa Vermelha,RS
12,1,Rua Doze de Janeiro,Passo Fundo,RS
12,1,Rua Doze de Janeiro,Joinville,SC
12,1,Rua 12 de Janeiro,Lauro Müller,SC
12,1,Rua 12 de Janeiro,Iporanga,SP
12,1,Rua 12 de Janeiro,Nova Europa,SP
12,1,Rua Doze de Janeiro,Araguaína,TO
13,1,Rua Treze de Janeiro,Almenara,MG
13,1,Rua Treze de Janeiro,Rio Paranaíba,MG
13,1,Travessa Treze de Janeiro,Castanhal,PA
13,1,Rua 13 de Janeiro,Parobé,RS
13,1,Rua Treze de Janeiro,São Borja,RS
13,1,Rua Treze de Janeiro,São Francisco de Assis,RS
13,1,Rua Treze de Janeiro,Osasco,SP
13,1,Rua Treze de Janeiro,São Paulo,SP
13,1,Rua Treze de Janeiro,Araguaína,TO
14,1,Beco 14 de Janeiro,Manaus,AM
14,1,Rua Quatorze de Janeiro,Manaus,AM
14,1,14 de Janeiro,Santana,AP
14,1,Travessa 14 de Janeiro,Santana,AP
14,1,Rua Quatorze de Janeiro,Alagoinhas,BA
14,1,Travessa Quatorze de Janeiro,Alagoinhas,BA
14,1,Rua Catorze de Janeiro,Cruz,CE
14,1,Rua Quatorze de Janeiro,Fortaleza,CE
14,1,Rua Quatorze de Janeiro,Aparecida de Goiânia,GO
14,1,Rua Quatorze de Janeiro,São José da Lapa,MG
14,1,Alameda Catorze de Janeiro,Ananindeua,PA
14,1,Rua 14 de Janeiro,Bom Retiro,SC
14,1,Rua Quatorze de Janeiro,Araguaína,TO
15,1,Rua 15 de Janeiro,Manaus,AM
15,1,Rua Quinze de Janeiro,Manaus,AM
15,1,Rua Quinze de Janeiro,Palmeiras,BA
15,1,Travessa 15 de Janeiro,Salvador,BA
15,1,Rua 15 de Janeiro,São Félix do Coribe,BA
15,1,Rua 15 de Janeiro,Anápolis,GO
15,1,Avenida 15 de Janeiro,Lima Campos,MA
15,1,Rua Quinze de Janeiro,Governador Valadares,MG
15,1,Praça Quinze de Janeiro,Itajubá,MG
15,1,Rua Quinze de Janeiro,Nova Xavantina,MT
15,1,Passagem Quinze de Janeiro,Belém,PA
15,1,Travessa 15 de Janeiro,Breu Branco,PA
15,1,15 de Janeiro,João Pessoa,PB
15,1,Avenida 15 de Janeiro,Mari,PB
15,1,Rua Quinze de Janeiro,Arcoverde,PE
15,1,1ª Travessa Quinze de Janeiro,Caruaru,PE
15,1,2ª Travessa Quinze de Janeiro,Caruaru,PE
15,1,3ª Travessa Quinze de Janeiro,Caruaru,PE
15,1,Rua Quinze de Janeiro,Caruaru,PE
15,1,Quinze de Janeiro,Olinda,PE
15,1,Rua quinze de janeiro,Taquaritinga do Norte,PE
15,1,Rua Quinze de Janeiro,Belford Roxo,RJ
15,1,Rua Quinze de Janeiro,Rio de Janeiro,RJ
15,1,Rua Quinze de Janeiro,Canoas,RS
15,1,Quinze de Janeiro,Santo Amaro da Imperatriz,SC
15,1,Avenida Quinze de Janeiro,Guarulhos,SP
16,1,Rua 16 de Janeiro,Salvador,BA
16,1,Dezesseis de Janeiro,Fortaleza,CE
16,1,Travessa Dezesseis de Janeiro,Fortaleza,CE
16,1,Rua 16 de Janeiro,Cristalina,GO
16,1,Rua Dezesseis de Janeiro,Caxias,MA
17,1,Rua Dezessete de Janeiro,Maceió,AL
17,1,Rua 17 de Janeiro,Aparecida de Goiânia,GO
17,1,Rua 17 de Janeiro,Várzea Grande,MT
17,1,Dezessete de Janeiro,Recife,PE
17,1,Dezessete de Janeiro,Ipiranga do Piauí,PI
17,1,Dezessete de Janeiro,Teresina,PI
17,1,17 de Janeiro,Blumenau,SC
17,1,Rua Dezessete de Janeiro,Joinville,SC
17,1,Rua Dezessete de Janeiro,Araguaína,TO
18,1,18 de Janeiro,Iranduba,AM
18,1,1ª Travessa 18 de Janeiro,Salvador,BA
18,1,2ª Travessa 18 de Janeiro,Salvador,BA
18,1,Avenida 18 de Janeiro,Salvador,BA
18,1,Rua 18 de Janeiro,Salvador,BA
18,1,Travessa Dezoito de Janeiro,Salvador,BA
18,1,Rua Dezoito de Janeiro,São Luís,MA
18,1,Rua Dezoito de Janeiro,Itaguaí,RJ
18,1,Rua Dezoito de Janeiro,Rio de Janeiro,RJ
18,1,Rua Dezoito de Janeiro,Porto Velho,RO
18,1,Rua 18 de Janeiro,Herval,RS
18,1,Dezoito de Janeiro,Florianópolis,SC
18,1,Rua Dezoito de Janeiro,Joinville,SC
19,1,Rua 19 de Janeiro,Manaus,AM
19,1,Rua 19 de Janeiro,Canudos,BA
19,1,Rua Dezenove de Janeiro,Fortaleza,CE
19,1,Rua 19 de Janeiro,Nova Roma do Sul,RS
19,1,Rua Dezenove de Janeiro,Criciúma,SC
19,1,Rua Dezenove de Janeiro,Aracaju,SE
19,1,Praça Dezenove de Janeiro,Praia Grande,SP
19,1,Avenida Dezenove de Janeiro,São Paulo,SP
20,1,Rua 20 de Janeiro,Rio Branco,AC
20,1,Rua Vinte de Janeiro,Xapuri,AC
20,1,Rua 20 de Janeiro,Pindaí,BA
20,1,Rua Vinte de Janeiro,Salvador,BA
20,1,Avenida Vinte de Janeiro,Fortaleza,CE
